15-Jan-2024 14:23:43.730 INFO [http-nio-8080-exec-103] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:23:43.730 INFO [http-nio-8080-exec-103] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:26:11.362 INFO [http-nio-8080-exec-108] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:26:11.362 INFO [http-nio-8080-exec-108] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:27:34.755 INFO [http-nio-8080-exec-114] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:27:34.755 INFO [http-nio-8080-exec-114] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:30:12.788 INFO [http-nio-8080-exec-119] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:30:12.789 INFO [http-nio-8080-exec-119] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:31:44.502 INFO [http-nio-8080-exec-127] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 14:31:44.502 INFO [http-nio-8080-exec-127] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 14:32:09.006 INFO [http-nio-8080-exec-128] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:32:09.006 INFO [http-nio-8080-exec-128] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:33:03.754 INFO [http-nio-8080-exec-135] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:33:03.755 INFO [http-nio-8080-exec-135] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:39:50.157 INFO [http-nio-8080-exec-140] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:39:50.157 INFO [http-nio-8080-exec-140] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:41:28.659 INFO [http-nio-8080-exec-150] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:41:28.660 INFO [http-nio-8080-exec-150] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:42:12.763 INFO [http-nio-8080-exec-152] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:42:12.763 INFO [http-nio-8080-exec-152] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:43:23.034 INFO [http-nio-8080-exec-160] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:43:23.034 INFO [http-nio-8080-exec-160] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
